number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,07:00:00,[],[]
2,6,07:07:13,08:22:00,['55'],[]
3,8,08:29:13,08:46:13,[],['55']
4,5,08:55:27,09:10:47,"['25', '11']",[]
5,4,09:14:29,09:18:14,"['38', '50', '18']","['25', '11']"
6,5,09:21:56,09:23:55,[],"['50', '18']"
7,4,09:27:37,09:35:29,['4'],[]
8,8,09:48:24,09:53:14,[],"['4', '38']"
9,4,10:06:09,10:17:00,"['54', '32']",[]
10,6,10:25:42,10:29:31,['27'],['32']
11,7,10:32:17,10:34:17,['40'],[]
12,8,10:39:40,10:41:40,"['33', '43', '44']","['54', '40', '27']"
13,7,10:47:03,10:49:03,[],"['33', '44']"
14,6,10:51:49,10:57:00,['53'],['43']
15,4,11:05:42,11:08:46,['14'],['53']
16,5,11:12:28,11:14:28,[],['14']
17,8,11:23:42,19:00:00,[],[]
