number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,07:00:00,[],[]
2,7,07:05:23,08:17:00,['24'],[]
3,8,08:22:23,08:24:23,[],['24']
4,6,08:31:36,09:47:49,['21'],[]
5,4,09:56:31,10:02:28,['15'],['21']
6,7,10:13:37,10:15:37,[],['15']
7,5,10:23:33,10:27:00,['22'],[]
8,8,10:36:14,10:54:14,[],['22']
9,5,11:03:28,11:34:56,"['17', '12']",[]
10,4,11:38:38,11:43:14,['23'],"['17', '12']"
11,7,11:54:23,12:02:00,['20'],['23']
12,4,12:13:09,12:17:00,"['29', '8']",['20']
13,6,12:25:42,12:27:42,[],['29']
14,7,12:30:28,12:32:28,[],['8']
15,4,12:43:37,13:23:46,['5'],[]
16,5,13:27:28,13:29:28,[],['5']
17,8,13:38:42,13:49:46,['26'],[]
18,4,14:02:41,14:36:46,['18'],['26']
19,5,14:40:28,14:42:28,[],['18']
20,8,14:51:42,19:00:00,[],[]
