number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,17,07:19:07,09:27:00,['47'],[]
3,18,09:29:34,09:31:34,[],['47']
4,19,09:33:23,09:52:00,['6'],[]
5,18,09:53:49,09:55:49,[],['6']
6,6,09:58:41,10:01:40,['3'],[]
7,4,10:05:31,10:07:31,[],['3']
8,5,10:08:48,10:47:00,['5'],[]
9,6,10:49:34,10:56:51,['43'],[]
10,19,10:59:43,11:01:43,[],"['5', '43']"
11,6,11:04:35,11:08:41,['30'],[]
12,4,11:12:32,11:14:32,[],['30']
13,5,11:15:49,13:21:59,['42'],[]
14,6,13:24:33,13:27:00,['35'],['42']
15,3,13:34:43,14:52:00,['24'],['35']
16,0,15:02:55,19:00:00,[],['24']
