number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:59:33,[],[]
2,2,08:05:00,08:07:00,['3'],[]
3,0,08:12:27,08:14:27,[],['3']
4,1,08:19:05,08:47:00,['0'],[]
5,3,08:53:26,08:55:46,['16'],[]
6,6,09:03:29,09:05:29,"['38', '26', '23']","['16', '0']"
7,4,09:09:20,09:11:20,[],['38']
8,1,09:21:08,09:23:08,[],['26']
9,0,09:27:46,09:55:29,['31'],['23']
10,2,10:00:56,10:02:56,['56'],[]
11,6,10:15:08,10:17:08,[],['56']
12,17,10:20:00,10:22:00,['52'],['31']
13,6,10:24:52,10:38:38,['54'],[]
14,2,10:50:50,10:52:50,['33'],"['54', '52']"
15,4,11:01:27,11:03:27,[],['33']
16,18,11:10:00,11:12:00,"['8', '51']",[]
17,6,11:14:52,11:16:52,"['32', '46']","['8', '51']"
18,18,11:19:44,11:21:44,[],['32']
19,20,11:25:35,11:27:35,[],['46']
20,18,11:31:26,11:47:00,['9'],[]
21,6,11:49:52,11:51:52,['4'],[]
22,0,12:09:07,12:14:16,[],"['9', '4']"
23,5,12:29:16,12:31:16,['66'],[]
24,1,12:42:15,12:44:15,['62'],['66']
25,2,12:45:32,12:47:32,[],['62']
26,3,12:52:59,13:02:00,['64'],[]
27,5,13:07:09,13:09:09,[],['64']
28,6,13:11:43,13:17:00,['5'],[]
29,19,13:19:52,13:21:52,[],['5']
30,6,13:24:44,13:33:24,['45'],[]
31,20,13:39:09,13:41:09,[],['45']
32,18,13:45:00,13:47:00,['36'],[]
33,17,13:49:34,13:52:00,['68'],[]
34,6,13:54:52,14:05:53,['50'],['68']
35,3,14:13:36,14:15:36,[],['50']
36,2,14:21:03,14:23:03,[],['36']
37,0,14:28:30,19:00:00,[],[]
