number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,6,07:14:24,08:22:00,"['39', '75']",[]
3,3,08:27:43,08:52:05,['73'],"['39', '75']"
4,4,08:55:33,08:57:34,['16'],['73']
5,3,09:01:02,09:03:02,['66'],[]
6,2,09:06:30,09:08:30,[],['16']
7,0,09:15:38,09:27:00,['17'],['66']
8,3,09:36:19,09:47:37,['15'],['17']
9,1,09:54:32,09:56:32,[],['15']
10,2,10:00:00,10:02:00,['50'],[]
11,3,10:05:28,10:16:20,"['10', '35']",['50']
12,6,10:22:03,10:24:03,[],"['10', '35']"
13,2,10:31:25,10:42:00,['30'],[]
14,3,10:45:28,11:05:17,['2'],['30']
15,1,11:12:12,11:14:12,[],['2']
16,2,11:17:40,11:19:40,['54'],[]
17,3,11:23:08,11:25:08,['14'],['54']
18,5,11:31:03,11:33:03,[],['14']
19,6,11:33:45,11:37:00,['21'],[]
20,3,11:42:43,11:48:29,"['25', '20', '33']",['21']
21,4,11:51:57,11:53:57,[],['33']
22,5,11:59:40,12:10:24,[],"['20', '25']"
23,6,12:11:06,12:22:00,['0'],[]
24,3,12:27:43,12:29:43,[],['0']
25,6,12:35:26,12:45:34,['40'],[]
26,3,12:51:17,12:53:17,['11'],[]
27,2,12:56:45,12:58:45,[],['11']
28,0,13:05:53,13:07:53,[],['40']
29,4,13:20:00,13:22:00,['51'],[]
30,3,13:25:28,13:34:46,"['37', '31']",['51']
31,5,13:40:41,13:42:41,[],['37']
32,6,13:43:23,13:59:34,['8'],['31']
33,5,14:00:16,14:02:16,['55'],[]
34,3,14:08:11,14:10:11,[],"['55', '8']"
35,0,14:19:30,19:00:00,[],[]
