number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,15,07:09:00,08:42:00,"['4', '46', '81']",[]
3,16,08:44:46,08:46:46,[],['81']
4,4,08:50:30,08:52:30,['22'],['46']
5,18,09:01:30,09:09:44,['18'],"['4', '22']"
6,4,09:18:44,09:20:44,['8'],['18']
7,16,09:24:28,09:27:31,[],['8']
8,19,09:40:00,09:42:00,['57'],[]
9,4,09:51:14,09:59:43,['23'],['57']
10,15,10:06:06,10:08:06,[],['23']
11,14,10:11:34,11:12:00,['6'],[]
12,18,11:27:59,11:29:59,[],['6']
13,20,11:35:01,12:07:00,['20'],[]
14,18,12:12:02,12:22:00,['11'],[]
15,4,12:31:00,12:33:00,['37'],"['20', '11']"
16,15,12:39:23,12:41:23,[],['37']
17,18,12:56:41,13:12:00,['3'],[]
18,4,13:21:00,13:23:00,[],['3']
19,16,13:26:44,13:37:00,['74'],[]
20,15,13:39:46,14:05:47,['59'],['74']
21,4,14:12:10,14:14:10,['40'],['59']
22,18,14:23:10,14:25:10,[],['40']
23,16,14:37:42,14:47:12,['27'],[]
24,4,14:50:56,15:19:08,['33'],['27']
25,18,15:28:08,15:30:08,[],['33']
26,19,15:32:13,15:37:00,"['80', '72']",[]
27,17,15:42:00,15:44:00,['21'],['72']
28,4,15:48:54,15:50:54,[],['80']
29,15,15:57:17,15:59:17,[],['21']
30,14,16:02:45,16:07:00,['16'],[]
31,0,16:12:32,16:37:00,['24'],['16']
32,4,16:49:07,16:51:36,['95'],[]
33,19,17:00:50,17:02:50,[],"['95', '24']"
34,20,17:07:44,17:17:00,['15'],[]
35,0,17:39:00,19:00:00,[],['15']
