number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,18,07:18:26,08:02:00,['38'],[]
3,16,08:14:32,08:16:32,[],['38']
4,4,08:20:16,08:33:52,['1'],[]
5,17,08:38:46,08:40:46,[],['1']
6,20,08:50:00,08:52:00,['13'],[]
7,4,09:05:55,09:07:55,['20'],[]
8,14,09:15:49,09:44:14,['27'],"['20', '13']"
9,4,09:52:08,09:54:08,"['70', '55']",['27']
10,18,10:03:08,10:05:08,[],['55']
11,19,10:07:13,10:09:13,[],['70']
12,20,10:14:07,10:19:58,['49'],[]
13,18,10:25:00,10:27:00,['64'],[]
14,0,10:45:26,10:47:26,[],"['49', '64']"
15,15,10:56:26,11:02:00,['67'],[]
16,16,11:04:46,11:06:46,[],['67']
17,4,11:10:30,11:23:57,['29'],[]
18,14,11:31:51,11:33:51,[],['29']
19,15,11:37:19,11:57:00,['74'],[]
20,4,12:03:23,12:05:23,[],['74']
21,14,12:13:17,12:15:17,['71'],[]
22,15,12:18:45,12:20:45,['6'],[]
23,16,12:23:31,12:32:00,['7'],[]
24,4,12:35:44,12:42:37,[],"['71', '6']"
25,19,12:51:51,12:53:51,[],['7']
26,17,12:58:51,13:13:58,['15'],[]
27,4,13:18:52,13:20:52,['60'],[]
28,14,13:28:46,13:46:21,[],"['15', '60']"
29,0,13:51:53,14:15:28,['19'],[]
30,14,14:21:00,14:37:00,['21'],[]
31,15,14:40:28,14:42:28,[],['19']
32,4,14:48:51,14:58:37,['78'],['21']
33,15,15:05:00,15:42:00,['65'],['78']
34,4,15:48:23,16:12:21,['56'],['65']
35,16,16:16:05,16:18:05,[],['56']
36,15,16:20:51,16:22:51,['68'],[]
37,19,16:38:06,16:40:06,[],['68']
38,20,16:45:00,16:47:00,['40'],[]
39,19,16:51:54,17:03:37,['5'],['40']
40,17,17:08:37,17:14:05,['79'],[]
41,4,17:18:59,17:33:51,['24'],['5']
42,16,17:37:35,17:39:35,[],['24']
43,15,17:42:21,17:44:21,[],['79']
44,0,17:53:21,19:00:00,[],[]
