number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,2,07:07:08,08:22:00,['8'],[]
3,1,08:25:28,10:12:00,['23'],['8']
4,2,10:15:28,10:22:00,['19'],[]
5,6,10:29:22,10:31:22,[],"['19', '23']"
6,5,10:32:04,10:37:00,['35'],[]
7,1,10:47:34,12:02:00,['18'],['35']
8,0,12:08:14,12:24:14,[],['18']
9,6,12:38:38,13:07:00,['14'],[]
10,3,13:12:43,13:25:05,['28'],['14']
11,5,13:31:00,13:33:00,[],['28']
12,6,13:33:42,13:47:00,['40'],[]
13,3,13:52:43,14:35:40,['10'],['40']
14,2,14:39:08,14:42:08,[],['10']
15,6,14:49:30,15:07:00,['1'],[]
16,3,15:12:43,15:16:08,['33'],['1']
17,2,15:19:36,15:21:36,[],['33']
18,1,15:25:04,15:27:04,['29'],[]
19,3,15:33:59,16:07:48,['2'],['29']
20,5,16:13:43,16:50:34,"['38', '37']",['2']
21,4,16:56:17,16:58:17,[],['37']
22,3,17:01:45,17:13:10,['0'],['38']
23,0,17:22:29,19:00:00,[],['0']
