number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,09:48:35,[],[]
2,2,10:00:00,10:02:00,"['57', '50']",[]
3,4,10:16:46,10:18:46,"['56', '29']","['57', '50']"
4,1,10:39:04,10:42:00,[],"['56', '29']"
5,2,10:47:32,11:37:00,['20'],[]
6,0,11:48:25,11:50:25,['47'],['20']
7,3,12:07:16,14:00:22,['59'],['47']
8,0,14:17:13,14:19:13,['31'],['59']
9,3,14:36:04,14:50:00,['9'],[]
10,4,14:59:14,15:07:28,[],"['9', '31']"
11,0,15:33:28,15:35:28,['35'],[]
12,1,15:41:40,16:22:00,"['16', '36']",['35']
13,4,16:42:18,16:44:18,['53'],"['16', '36']"
14,1,17:04:36,17:06:36,[],['53']
15,0,17:12:48,19:00:00,[],[]
