number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,09:58:18,['25'],[]
2,7,10:01:46,10:12:00,['29'],['25']
3,3,10:19:08,10:27:55,['5'],['29']
4,13,10:44:35,11:26:39,['42'],['5']
5,12,11:29:25,11:32:49,['30'],[]
6,3,11:49:29,12:26:12,['35'],"['30', '42']"
7,11,12:37:17,12:39:17,[],['35']
8,13,12:45:00,12:47:00,['6'],[]
9,3,13:03:40,13:05:40,['46'],['6']
10,8,13:09:49,13:11:49,[],['46']
11,3,13:15:58,13:36:27,['39'],[]
12,8,13:40:36,13:42:36,['18'],['39']
13,3,13:46:45,13:48:45,['3'],['18']
14,7,13:55:53,13:57:53,[],['3']
15,0,14:01:21,19:00:00,[],[]
